Run Date,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.61,,,,60.61,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.61,,,,60.61,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.6,,,,60.6,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.6,,,,60.6,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.6,,,,60.6,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.6,,,,60.6,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.6,,,,60.6,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.6,,,,60.6,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.6,,,,60.6,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.6,,,,60.6,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.59,,,,60.59,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.59,,,,60.59,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.59,,,,60.59,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.59,,,,60.59,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.59,,,,60.59,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.59,,,,60.59,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.59,,,,60.59,3/19/2024
