Symbol,Status,Trade Description,Order Type,Quantity,TIF,Order Time,Destination
SPLG OTO 50A ,$59.82 ,Buy 1 Limit at 59.82  Do Not Reduce,Limit at59.82,1,GTC,"10:02:18 AM
03/06/2024",FDLM
SPLG,$59.87 ,Buy 1 Limit at 59.87  ,Limit at59.87,1,Day+,"07:02:51 AM
03/06/2024",NYSE ARCA
SPLG,$59.87 ,Buy 1 Limit at 59.87  Do Not Reduce,Limit at59.87,1,GTC,"11:09:24 AM
03/06/2024","UBS SECURITIES, L.L.C."
SPLG,$59.90 ,Buy 1 Limit at 59.90  ,Limit at59.90,1,Day+,"10:12:38 AM
03/06/2024",NYSE ARCA
SPLG,$59.90 ,Buy 1 Limit at 59.90  ,Limit at59.90,1,Day+,"07:10:48 AM
03/06/2024",NYSE ARCA
SPLG,$59.90 ,Buy 1 Limit at 59.90  ,Limit at59.90,1,Day+,"07:16:30 AM
03/06/2024",NYSE ARCA
SPLG OTO 49A ,$59.90 ,Buy 1 Limit at 59.90  Do Not Reduce,Limit at59.90,1,GTC,"10:01:46 AM
03/06/2024",FDLM
SPLG OTO 46A ,$59.90 ,Buy 1 Limit at 59.90  Do Not Reduce,Limit at59.90,1,GTC,"09:41:28 AM
03/06/2024",FDLM
SPLG,$59.91 ,Buy 1 Limit at 59.91  Do Not Reduce,Limit at59.91,1,GTC,"11:11:42 AM
03/06/2024","UBS SECURITIES, L.L.C."
SPLG,$59.92 ,Buy 1 Limit at 59.92  ,Limit at59.92,1,Day+,"07:12:29 AM
03/06/2024",NYSE ARCA
SPLG OTO 33B ,$59.92 ,Buy 1 Limit at 59.92  Do Not Reduce,Limit at59.92,1,GTC,"09:30:00 AM
03/06/2024","UBS SECURITIES, L.L.C."
SPLG,$59.93 ,Buy 1 Limit at 59.93  ,Limit at59.93,1,4:00 PM,"10:33:44 AM
03/06/2024",NYSE ARCA
SPLG OTO 32B ,$59.94 ,Buy 1 Limit at 59.94  Do Not Reduce,Limit at59.94,1,GTC,"09:30:00 AM
03/06/2024","UBS SECURITIES, L.L.C."
SPLG,$59.95 ,Buy 1 Limit at 59.95  Do Not Reduce,Limit at59.95,1,GTC,"11:10:21 AM
03/06/2024","UBS SECURITIES, L.L.C."
SPLG,$59.95 ,Buy 1 Limit at 59.95  Do Not Reduce,Limit at59.95,1,GTC,"11:09:54 AM
03/06/2024","UBS SECURITIES, L.L.C."
SPLG OTO 62B ,$59.95 ,Buy 1 Limit at 59.95  Do Not Reduce,Limit at59.95,1,GTC,"03:51:54 PM
03/06/2024","UBS SECURITIES, L.L.C."
SPLG,$59.95 ,Buy 1 Limit at 59.95  Do Not Reduce,Limit at59.95,1,GTC,"09:40:32 AM
03/06/2024",FDLM
SPLG OTO 38B ,$59.95 ,Buy 1 Limit at 59.95  Do Not Reduce,Limit at59.95,1,GTC,"09:33:32 AM
03/06/2024","UBS SECURITIES, L.L.C."
SPLG,$59.96 ,Buy 1 Limit at 59.96  ,Limit at59.96,1,Day+,"08:39:48 AM
03/06/2024",NYSE ARCA
SPLG,$59.96 ,Buy 1 Limit at 59.96  Do Not Reduce,Limit at59.96,1,GTC,"09:38:52 AM
03/06/2024",FDLM
SPLG,$59.97 ,Buy 1 Limit at 59.97  ,Limit at59.97,1,Day+,"08:22:00 AM
03/06/2024",NYSE ARCA
SPLG,$59.97 ,Buy 1 Limit at 59.97  ,Limit at59.97,1,Day+,"10:36:53 AM
03/06/2024",NYSE ARCA
SPLG,$59.97 ,Buy 1 Limit at 59.97  Do Not Reduce,Limit at59.97,1,GTC,"11:12:10 AM
03/06/2024","UBS SECURITIES, L.L.C."
SPLG,$59.98 ,Buy 1 Limit at 59.98  ,Limit at59.98,1,Day+,"04:03:12 PM
03/06/2024",NYSE ARCA
SPLG,$59.98 ,Buy 1 Limit at 59.98  Do Not Reduce,Limit at59.98,1,GTC,"11:08:42 AM
03/06/2024","UBS SECURITIES, L.L.C."
SPLG,$59.98 ,Buy 1 Limit at 59.98  Do Not Reduce,Limit at59.98,1,GTC,"11:09:02 AM
03/06/2024","UBS SECURITIES, L.L.C."
SPLG,$59.99 ,Buy 1 Limit at 59.99  Do Not Reduce,Limit at59.99,1,GTC,"11:08:15 AM
03/06/2024","UBS SECURITIES, L.L.C."
SPLG,$60.00 ,Buy 1 Limit at 60.00  ,Limit at60.00,1,Day+,"08:26:05 AM
03/06/2024",NYSE ARCA
SPLG,$60.00 ,Buy 1 Limit at 60.00  ,Limit at60.00,1,Day+,"08:50:41 AM
03/06/2024",FDLM
SPLG,$60.00 ,Buy 1 Limit at 60.00  Do Not Reduce,Limit at60.00,1,GTC,"11:29:39 AM
03/06/2024","UBS SECURITIES, L.L.C."
SPLG,$60.00 ,Buy 1 Limit at 60.00  Do Not Reduce,Limit at60.00,1,GTC,"09:36:59 AM
03/06/2024",FDLM
SPLG OTO 36B ,$60.00 ,Buy 1 Limit at 60.00  Do Not Reduce,Limit at60.00,1,GTC,"09:30:00 AM
03/06/2024","UBS SECURITIES, L.L.C."
SPLG,$60.01 ,Buy 1 Limit at 60.01  ,Limit at60.01,1,Day+,"09:41:18 AM
03/06/2024",NYSE ARCA
SPLG,$60.02 ,Buy 1 Limit at 60.02  ,Limit at60.02,1,Day+,"09:36:29 AM
03/06/2024",NYSE ARCA
SPLG,$60.02 ,Buy 1 Limit at 60.02  ,Limit at60.02,1,Day+,"08:53:11 AM
03/06/2024",FDLM
SPLG,$60.02 ,Buy 1 Limit at 60.02  ,Limit at60.02,1,Day+,"08:55:26 AM
03/06/2024",NASDAQ
SPLG,$60.03 ,Buy 1 Limit at 60.03  ,Limit at60.03,1,Day+,"08:58:21 AM
03/06/2024",NYSE ARCA
SPLG,$60.03 ,Buy 1 Limit at 60.03  ,Limit at60.03,1,Day+,"09:45:17 AM
03/06/2024",NYSE ARCA
SPLG,$60.03 ,Buy 1 Limit at 60.03  ,Limit at60.03,1,Day+,"08:59:30 AM
03/06/2024",NYSE ARCA
SPLG,$60.05 ,Buy 1 Limit at 60.05  ,Limit at60.05,1,Day+,"09:34:53 AM
03/06/2024",FDLM
SPLG OTO 57A ,$60.05 ,Buy 1 Limit at 60.05  Do Not Reduce,Limit at60.05,1,GTC,"11:06:41 AM
03/06/2024",FDLM
SPLG,$60.07 ,Buy 1 Limit at 60.07  ,Limit at60.07,1,Day+,"09:31:21 AM
03/06/2024",NYSE ARCA
SPLG OTO 58A ,$60.07 ,Buy 1 Limit at 60.07  Do Not Reduce,Limit at60.07,1,GTC,"11:14:00 AM
03/06/2024",FDLM
SPLG,$60.07 ,Buy 1 Limit at 60.08  ,Limit at60.08,1,Day+,"09:32:25 AM
03/06/2024",NYSE ARCA
SPLG,$60.08 ,Buy 1 Limit at 60.08  ,Limit at60.08,1,Day+,"11:06:35 AM
03/06/2024",NYSE ARCA
SPLG,$60.11 ,Buy 1 Limit at 60.11  ,Limit at60.11,1,Day+,"11:23:21 AM
03/06/2024",NYSE ARCA
SPLG,$60.12 ,Buy 1 Limit at 60.12  ,Limit at60.12,1,Day+,"11:13:55 AM
03/06/2024",NYSE ARCA
SPLG OTO 50B ,$59.85 ,Sell 1 Limit at 59.85  Do Not Reduce,Limit at59.85,1,GTC,"10:06:53 AM
03/06/2024","UBS SECURITIES, L.L.C."
SPLG,$59.90 ,Sell 1 Limit at 59.90  ,Limit at59.90,1,Day+,"07:03:11 AM
03/06/2024",NYSE ARCA
SPLG,$59.92 ,Sell 1 Limit at 59.92  ,Limit at59.92,1,GTC,"10:12:47 AM
03/06/2024",FDLM
SPLG,$59.93 ,Sell 1 Limit at 59.93  ,Limit at59.93,1,Day+,"07:18:06 AM
03/06/2024",NYSE ARCA
SPLG OTO 46B ,$59.94 ,Sell 1 Limit at 59.94  Do Not Reduce,Limit at59.94,1,GTC,"10:04:19 AM
03/06/2024","UBS SECURITIES, L.L.C."
SPLG OTO 49B ,$59.94 ,Sell 1 Limit at 59.94  Do Not Reduce,Limit at59.94,1,GTC,"10:04:19 AM
03/06/2024","UBS SECURITIES, L.L.C."
SPLG,$59.95 ,Sell 1 Limit at 59.95  Do Not Reduce,Limit at59.95,1,GTC,"10:33:48 AM
03/06/2024",FDLM
SPLG,$59.96 ,Sell 1 Limit at 59.96  ,Limit at59.96,1,Day+,"07:17:43 AM
03/06/2024",NYSE ARCA
SPLG OTO 62A ,$59.98 ,Sell 1 Limit at 59.98  Do Not Reduce,Limit at59.98,1,GTC,"03:51:26 PM
03/06/2024",FDLM
SPLG,$59.99 ,Sell 1 Limit at 59.99  Do Not Reduce,Limit at59.99,1,GTC,"03:53:15 PM
03/06/2024",FDLM
SPLG,$60.00 ,Sell 1 Limit at 60.00  Do Not Reduce,Limit at60.00,1,GTC,"03:52:38 PM
03/06/2024",FDLM
SPLG,$60.01 ,Sell 1 Limit at 60.01  Do Not Reduce,Limit at60.01,1,GTC,"10:37:03 AM
03/06/2024",FDLM
SPLG,$60.07 ,Sell 1 Limit at 60.01  Do Not Reduce,Limit at60.01,1,GTC,"03:31:40 PM
03/05/2024",FDLM
SPLG OTO 33A ,$60.07 ,Sell 1 Limit at 60.02  Do Not Reduce,Limit at60.02,1,GTC,"08:35:03 AM
03/06/2024",FDLM
SPLG,$60.02 ,Sell 1 Limit at 60.02  Do Not Reduce,Limit at60.02,1,GTC,"10:26:57 AM
03/06/2024",FDLM
SPLG OTO 32A ,$60.07 ,Sell 1 Limit at 60.04  Do Not Reduce,Limit at60.04,1,GTC,"08:34:26 AM
03/06/2024",FDLM
SPLG,$60.07 ,Sell 1 Limit at 60.04  Do Not Reduce,Limit at60.04,1,GTC,"09:02:58 AM
03/06/2024",FDLM
SPLG OTO 36A ,$60.07 ,Sell 1 Limit at 60.05  Do Not Reduce,Limit at60.05,1,GTC,"09:01:00 AM
03/06/2024",FDLM
SPLG,$60.05 ,Sell 1 Limit at 60.05  Do Not Reduce,Limit at60.05,1,GTC,"09:45:31 AM
03/06/2024",FDLM
SPLG,$60.07 ,Sell 1 Limit at 60.05  Do Not Reduce,Limit at60.05,1,GTC,"08:58:53 AM
03/06/2024",FDLM
SPLG,$60.06 ,Sell 1 Limit at 60.06  Do Not Reduce,Limit at60.06,1,GTC,"10:27:42 AM
03/06/2024",FDLM
SPLG,$60.07 ,Sell 1 Limit at 60.06  Do Not Reduce,Limit at60.06,1,GTC,"09:00:01 AM
03/06/2024",FDLM
SPLG OTO 38A ,$60.09 ,Sell 1 Limit at 60.09  Do Not Reduce,Limit at60.09,1,GTC,"09:31:29 AM
03/06/2024",FDLM
SPLG,$60.09 ,Sell 1 Limit at 60.09  Do Not Reduce,Limit at60.09,1,GTC,"09:35:03 AM
03/06/2024",FDLM
SPLG,$60.09 ,Sell 1 Limit at 60.09  Do Not Reduce,Limit at60.09,1,GTC,"10:28:22 AM
03/06/2024",FDLM
SPLG OTO 57B ,$60.10 ,Sell 1 Limit at 60.10  Do Not Reduce,Limit at60.10,1,GTC,"01:33:25 PM
03/06/2024","UBS SECURITIES, L.L.C."
SPLG,$60.11 ,Sell 1 Limit at 60.11  Do Not Reduce,Limit at60.11,1,GTC,"09:56:12 AM
03/06/2024",FDLM
SPLG,$60.11 ,Sell 1 Limit at 60.11  Do Not Reduce,Limit at60.11,1,GTC,"09:39:25 AM
03/06/2024",FDLM
SPLG,$60.11 ,Sell 1 Limit at 60.11  Do Not Reduce,Limit at60.11,1,GTC,"09:37:52 AM
03/06/2024",FDLM
SPLG,$60.12 ,Sell 1 Limit at 60.12  Do Not Reduce,Limit at60.12,1,GTC,"09:39:51 AM
03/06/2024",FDLM
SPLG OTO 58B ,$60.13 ,Sell 1 Limit at 60.13  Do Not Reduce,Limit at60.13,1,GTC,"11:33:40 AM
03/06/2024","UBS SECURITIES, L.L.C."
SPLG,$60.13 ,Sell 1 Limit at 60.13  Do Not Reduce,Limit at60.13,1,GTC,"11:23:29 AM
03/06/2024",FDLM
SPLG,$60.21 ,Sell 1 Limit at 60.21  Do Not Reduce,Limit at60.21,1,GTC,"03:37:12 PM
03/05/2024",FDLM
SPLG,$60.21 ,Sell 1 Limit at 60.21  Do Not Reduce,Limit at60.21,1,GTC,"11:30:06 AM
03/06/2024",FDLM
SPLG,$60.23 ,Sell 1 Limit at 60.23  Do Not Reduce,Limit at60.23,1,GTC,"11:31:45 AM
03/06/2024",FDLM
,,,,,,,
sell,"$2,101.72 ",,,35,$60.05 ,,
buy,"$2,818.94 ",,,47,$59.98 ,,
