Run Date,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 03/14/2024,SOLD (SPLG) (Cash), SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.96,,,,60.96,3/18/2024
 03/14/2024,SOLD (SPLG) (Cash), SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.95,,,,60.95,3/18/2024
 03/14/2024,SOLD (SPLG) (Cash), SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.95,,,,60.95,3/18/2024
 03/14/2024,SOLD (SPLG) (Cash), SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.95,,,,60.95,3/18/2024
 03/14/2024,SOLD (SPLG) (Cash), SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.95,,,,60.95,3/18/2024
 03/14/2024,SOLD (SPLG) (Cash), SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.95,,,,60.95,3/18/2024
 03/14/2024,SOLD (SPLG) (Cash), SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.94,,,,60.94,3/18/2024
 03/14/2024,SOLD (SPLG) (Cash), SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.94,,,,60.94,3/18/2024
 03/14/2024,SOLD (SPLG) (Cash), SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.94,,,,60.94,3/18/2024
 03/14/2024,SOLD (SPLG) (Cash), SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.94,,,,60.94,3/18/2024
 03/14/2024,SOLD (SPLG) (Cash), SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.94,,,,60.94,3/18/2024
 03/14/2024,SOLD (SPLG) (Cash), SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.94,,,,60.94,3/18/2024
