3/7/2024,,,,,,,
Symbol,Status,Trade Description,Order Type,Quantity,TIF,Order Time,Destination
SPLG OTO 1A ,"FILLED AT
$60.35",Sell 1 Limit at $60.26  Do Not Reduce,Limit at $60.26,1,GTC,"03:39:24 PM
03/05/2024",FDLM
SPLG OTO 20A ,"FILLED AT
$60.35",Sell 1 Limit at $60.24  Do Not Reduce,Limit at $60.24,1,GTC,"03:51:59 PM
03/06/2024",FDLM
SPLG OTO 21A ,"FILLED AT
$60.35",Sell 1 Limit at $60.25  Do Not Reduce,Limit at $60.25,1,GTC,"03:53:48 PM
03/06/2024",FDLM
SPLG OTO 23A ,"FILLED AT
$60.35",Sell 1 Limit at $60.20  Do Not Reduce,Limit at $60.20,1,GTC,"08:39:28 AM
03/07/2024",FDLM
SPLG OTO 24A ,"FILLED AT
$60.35",Sell 1 Limit at $60.24  Do Not Reduce,Limit at $60.24,1,GTC,"03:59:58 PM
03/06/2024",FDLM
SPLG OTO 25A ,"FILLED AT
$60.35",Sell 1 Limit at $60.25  Do Not Reduce,Limit at $60.25,1,GTC,"04:00:20 PM
03/06/2024",FDLM
SPLG OTO 26A ,"FILLED AT
$60.35",Sell 1 Limit at $60.27  Do Not Reduce,Limit at $60.27,1,GTC,"04:00:44 PM
03/06/2024",FDLM
SPLG OTO 27A ,"FILLED AT
$60.35",Sell 1 Limit at $60.28  Do Not Reduce,Limit at $60.28,1,GTC,"04:01:04 PM
03/06/2024",FDLM
SPLG OTO 28A ,"FILLED AT
$60.35",Sell 1 Limit at $60.15  Do Not Reduce,Limit at $60.15,1,GTC,"04:02:06 PM
03/06/2024",FDLM
SPLG OTO 29A ,"FILLED AT
$60.35",Sell 1 Limit at $60.24  Do Not Reduce,Limit at $60.24,1,GTC,"04:03:26 PM
03/06/2024",FDLM
SPLG OTO 30A ,"FILLED AT
$60.35",Sell 1 Limit at $60.20  Do Not Reduce,Limit at $60.20,1,GTC,"07:21:17 AM
03/07/2024",FDLM
SPLG OTO 31A ,"FILLED AT
$60.40",Sell 1 Limit at $60.40  Do Not Reduce,Limit at $60.40,1,GTC,"09:55:55 AM
03/07/2024",FDLM
SPLG OTO 32A ,"FILLED AT
$60.49",Sell 1 Limit at $60.49  Do Not Reduce,Limit at $60.49,1,GTC,"10:17:56 AM
03/07/2024",FDLM
